RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RA_J2000,DE_J2000
56.30332745,23.2494024,6.48788E+16,0.5006,0.3447,1.0743,0.5508,11.436,-10.758,0.717,3.88,0.422,1.121,232.05691,1.2106843,19.77338,53.20721714,7.381711,21.023617,284.367839,9.073062,18.613194,2.410423,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35891E+17,,,,URAT1-567028015,J034512.81+231457.8,,NC3R000934,,03451283+2314579 ,,56.30337949,23.24938516
56.31187534,23.25615637,6.48788E+16,0.5357,0.3904,0.8742,0.6493,5.453,-1.735,0.871,-5.17,0.487,0.984,188.11929,0.97171086,20.001284,61.0506728,8.186757,20.874315,200.2243973,12.205784,18.994102,1.880213,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35901E+17,,,,,,,NC3R002264,,,,56.31188374,23.25617934
56.29970656,23.26100089,6.48788E+16,0.4013,0.2921,0.219,0.4557,2.859,2.721,0.595,-0.875,0.363,1.098,275.57098,1.1957569,19.586782,112.8638,6.8872523,20.207155,225.7532033,10.91477,18.863811,1.343344,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35911E+17,,,,,,,NC3R001125,,,,56.29969339,23.26100477
56.30543515,23.26484284,6.48788E+16,1.0335,0.7541,2.6486,1.1043,19.28,0.152,1.829,-19.28,0.918,1.064,122.81044,1.6424232,20.46428,49.70827139,8.229563,21.097471,186.6752213,14.434065,19.070179,2.027292,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35911E+17,,,,,J034513.30+231553.6,,,,03451333+2315539 ,,56.30543442,23.26492853
56.24006705,23.23931237,6.48791E+16,2.8334,2.7559,,,,,,,,,73.79641,1.5267706,21.017279,223.2527,560.4424,19.46655,61.36582186,13.839075,20.27808,-0.811529,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35881E+17,,,,,,,,,,,56.24006705,23.23931237
56.22325876,23.24746665,6.48791E+16,0.3827,0.2717,-0.0731,0.4358,10.333,6.559,0.559,-7.984,0.327,1.042,321.46814,1.1449962,19.419521,134.6443384,8.355886,20.015572,256.669971,8.009495,18.724459,1.291113,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35891E+17,,,,,,,NC3R000917,,,,56.22322703,23.24750214
56.20744336,23.25500871,6.48793E+16,0.015,0.011,3.1155,0.0172,27.581,26.343,0.019,-8.172,0.014,0.983,90446.36751,13.5127945,13.296389,38895.5235,32.99025,13.863793,73943.09265,42.71565,12.575651,1.288142,30.44,1.72,,12.259994,0,0,0,1,1,0,0,0,1,1,5069.4,4.3599,-0.7988,315.7408,0.6698,,1.35901E+17,,,,URAT1-567027937,J034449.77+231518.0,220827,NC3R000968,,03444975+2315181 ,,56.20731593,23.25504503
56.21697555,23.24893087,6.48793E+16,0.1662,0.1163,0.6005,0.1924,17.94,1.889,0.212,-17.84,0.141,0.997,924.77634,1.6873081,18.272276,314.2755356,12.621281,19.095266,878.7451654,9.43434,17.388239,1.707027,,,,,0,0,0,0,0,0,0,0,1,0,3852.2,4.8327,-0.6471,768.7208,0.1329,,1.35891E+17,,,,URAT1-567027945,J034452.08+231456.1,,NC3R000928,,03445207+2314566 ,,56.21696642,23.24901016
56.21334245,23.25520359,6.48793E+16,2.0374,1.4274,,,,,,,,,95.06632,1.2212312,20.7423,84.41187444,9.429902,20.522533,111.5505483,14.253012,19.629217,0.893316,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35901E+17,,,,,,,NC3R002265,,,,56.21334245,23.25520359
56.21358053,23.26872443,6.48794E+16,0.017,0.0132,7.3946,0.0187,48.833,20.546,0.023,-44.3,0.016,0.981,5254315.166,947.3212,8.886077,3174614.173,1414.4941,9.084315,3052122.11,1017.9508,8.53639,0.547925,6.55,0.19,,8.392489,0,0,0,1,1,1,0,0,1,1,6727,4.1964,-0.4426,134.5688,0.0132,17497,,,,1799-1157-1 ,URAT1-567027941,J034451.25+231607.6,,NC3R044430,J034451.2+231608,03445123+2316082 ,20120107_0336p23_115 ,56.21348113,23.26892132
56.20035068,23.2665494,6.48794E+16,0.3597,0.2439,-0.2257,0.4502,1.978,1.583,0.476,-1.186,0.292,0.993,328.04091,1.0449243,19.397547,123.2568742,9.264064,20.111515,256.9811381,7.565744,18.723143,1.388372,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35921E+17,,,,URAT1-567027934,,,NC3R001027,,,,56.20034302,23.26655467
56.20413147,23.26638286,6.48794E+16,0.4673,0.344,1.7797,0.5734,14.315,1.556,0.658,-14.23,0.418,0.97,210.56034,1.0055635,19.878925,47.1503495,6.3410044,21.154829,265.1756626,11.257318,18.689062,2.465767,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35921E+17,,,,,,,NC3R002376,,,,56.20412395,23.2664461
56.20579906,23.26927364,6.48794E+16,1.2261,0.962,0.9961,1.4838,14.627,-6.412,1.745,-13.147,1.108,0.991,85.27544,1.9106132,20.860308,44.14048724,10.646682,21.22645,134.5805895,16.51738,19.42544,1.80101,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35921E+17,,,,,,,,,,,56.20583008,23.26933207
56.25040852,23.24711297,6.48794E+16,0.1905,0.143,0.0063,0.2175,5.488,3.911,0.247,-3.85,0.166,1.048,800.54415,1.5277965,18.428904,313.2321511,9.698158,19.098877,702.9293046,11.726661,17.630617,1.46826,,,,,0,0,0,0,0,0,0,0,1,0,4158.2,4.983,-1.6002,794.0938,0.0521,,1.35891E+17,,,,URAT1-567027978,J034500.09+231449.0,,NC3R000919,,03450010+2314496 ,,56.2503896,23.24713008
