type_best_classification,type2_best_sub_classification,mode_best_classification,source_id,p1,epoch_g,int_average_g,peak_to_peak_g,num_harmonics_for_p1_,r21_g,phi21G,RA_ICRS,DE_ICRS,_RAJ,_DEJ,best_classification,source_id,p1,epoch_g,int_average_g,peak_to_peak_g,num_harmonics_for_p1_,r21_g,phi21G,RA_ICRS,DE_ICRS,_RAJ,_DEJ
"DCEP ","---","FUNDAMENTAL   ","4660430358183955712",8.93013251,1652.47840549,14.602,0.434,5,0.252,5.273,81.1625701399,-66.431029771,81.1625701399,-66.431029771,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660430770501280000",5.13573368,1659.64145982,15.188,0.721,5,0.469,4.57,80.9612319624,-66.4551962542,80.9612319624,-66.4551962542,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660432351049502080",3.02846228,1665.82423377,16.162,0.467,5,0.392,4.263,81.1991858122,-66.3689929338,81.1991858122,-66.3689929338,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660434309554068736",8.02033282,1648.32913639,14.821,0.473,5,0.287,5.451,80.6393624811,-66.5739600178,80.6393624811,-66.5739600178,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660436611656759424",3.09079606,1662.74610984,15.114,0.32,3,0.077,3.389,80.7567414175,-66.4766289304,80.7567414175,-66.4766289304,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660438467082218112",4.45617076,1658.06787005,15.277,0.669,5,0.381,4.377,80.4171616911,-66.507550666,80.4171616911,-66.507550666,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660441799977683840",2.95547538,1665.58825094,15.889,0.626,5,0.454,4.307,80.3366047875,-66.3547206745,80.3366047875,-66.3547206745,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660442212293681792",8.73200621,1650.23422723,14.468,0.684,5,0.198,5.131,80.3503286575,-66.3433581534,80.3503286575,-66.3433581534,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660445171543623680",4.09003588,1663.27447089,15.551,0.669,5,0.469,4.377,80.841632276,-66.3066912508,80.841632276,-66.3066912508,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660447812953836288",3.17112981,1665.61466311,15.666,0.813,6,0.506,4.252,80.4941643681,-66.2591264029,80.4941643681,-66.2591264029,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660456471589139584",9.03685979,1648.57404236,14.7,0.633,6,0.174,5.41,79.5608861026,-66.6371471593,79.5608861026,-66.6371471593,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660464786642185856",3.51419529,1660.60574222,14.997,0.308,3,0.131,3.461,79.7322615261,-66.5112409605,79.7322615261,-66.5112409605,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660521961246478080",4.19555185,1660.59440806,14.775,0.311,4,0.2,3.76,81.5498898379,-66.4181772961,81.5498898379,-66.4181772961,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660525534680052352",5.10747635,1663.22090122,15.102,0.628,4,0.389,4.538,81.358774863,-66.2645965413,81.358774863,-66.2645965413,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660526118774786304",2.89080126,1668.35447294,15.115,0.198,2,0.057,3.677,81.3310336142,-66.2122330704,81.3310336142,-66.2122330704,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","UNDEFINED     ","4658898497969725952",0.81104349,1664.04407304,17.01,0.419,3,0.193,4.139,80.4417418279,-66.9861900876,80.4417418279,-66.9861900876,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FIRST_OVERTONE","4658898738488020864",3.3844873,1658.89869278,15.048,0.338,4,0.182,3.695,80.4115015243,-66.9476771952,80.4115015243,-66.9476771952,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","UNDEFINED     ","4658925092406745984",2.69331244,1659.84418704,17.372,0.112,1,,,78.8871350309,-67.1440231713,78.8871350309,-67.1440231713,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4658939214286774400",3.56278072,1658.55295617,15.65,0.344,2,0.306,4.344,79.838264181,-67.1136249309,79.838264181,-67.1136249309,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
